idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,15,426.67,468.25,489.21,527.96,466.21,475.66
11,12,346.67,421.94,475.07,487.22,455.44,437.27
12,84,379.76,442.41,458.34,495.79,447.99,444.86
13,1064,443.76,466.48,495.35,522.58,464.58,478.55
14,19840,454.54,466.75,498.84,528.3,468.94,483.48
15,170515,469.22,474.7,505.97,535.76,476.56,492.44
16,503682,491.58,484.47,513.79,545.73,486.06,504.33
17,994058,504.06,488.57,516.97,551.04,491.62,510.45
18,851207,492.06,482.27,511.58,547.99,488.51,504.48
19,585031,476.5,475.78,506.14,544.36,483.33,497.22
20,426389,467.87,472.4,504.33,543.73,480.73,493.81
21,323184,464.19,470.11,504.65,544.47,479.03,492.49
22,250560,463.83,469.89,505.96,546.59,479.53,493.16
23,206396,465.22,470.23,507.49,549.45,480.72,494.62
24,169142,464.87,468.87,508.1,551.08,481.04,494.79
25,150707,462.88,467.4,507.94,552.01,481.17,494.28
26,132525,461.61,465.86,508.12,552.95,480.89,493.89
27,114001,459.08,464.3,507.66,553.19,480.68,492.98
28,101803,454.53,462.9,506.87,553.33,480.54,491.63
29,90638,451.69,461.51,505.41,552.94,480.14,490.34
30,78880,447.06,459.04,504.45,552.38,479.55,488.5
31,72613,443.82,457.95,503.46,552.18,478.65,487.21
32,69014,438.57,455.82,501.79,551.15,477.71,485.01
33,63168,435.06,454.35,500.02,550.7,477.18,483.46
34,55022,429.93,452.07,498.54,549.19,476.4,481.22
35,50823,425.49,449.9,496.16,547.6,474.83,478.8
36,45483,423.52,449.11,495.37,547.47,473.86,477.86
37,42197,420.94,446.73,494.88,547.68,473.73,476.79
38,38789,416.52,445.46,492.78,546.85,472.65,474.85
39,34929,413.64,444.39,491.95,546.59,472.56,473.83
40,32667,410.91,444.38,491.89,545.83,472.22,473.05
41,29199,409.25,444.16,491.03,546.24,471.51,472.44
42,27475,410.51,443.45,491.74,546.9,472.05,472.93
43,25340,409.47,441.4,490.61,545.33,471.54,471.67
44,22821,405.96,440.9,490.25,545.42,470.55,470.62
45,21150,401.7,439.97,489.29,545.35,470.55,469.37
46,19364,404.09,440.37,490.31,546.15,471.4,470.47
47,17557,403.0,441.14,490.38,546.97,472.21,470.74
48,16086,400.65,439.09,490.04,545.59,470.5,469.17
49,15036,402.17,440.59,491.08,548.3,471.46,470.72
50,12760,401.32,441.36,489.89,547.46,471.6,470.33
51,11250,399.99,440.01,490.18,548.64,470.71,469.9
52,9485,395.17,437.28,488.14,547.12,470.23,467.59
53,8030,395.53,438.32,489.01,546.23,469.36,467.69
54,6984,389.44,437.03,486.56,545.57,467.85,465.29
55,5873,384.29,435.65,484.1,542.36,467.22,462.72
56,4821,382.83,435.35,482.4,543.02,466.55,462.03
57,4303,375.27,435.11,480.34,540.57,466.07,459.47
58,3355,378.42,436.15,480.1,541.32,467.11,460.62
59,2787,372.23,432.19,476.74,539.56,464.23,456.99
60,2147,367.38,432.19,475.55,536.66,465.38,455.43
61,1649,362.68,435.74,473.56,537.05,463.32,454.47
62,1339,360.56,432.05,473.7,534.77,465.15,453.25
63,999,371.7,431.43,469.77,539.61,464.36,455.37
64,825,373.69,427.21,472.35,536.9,462.56,454.54
65,616,368.35,430.12,469.41,533.67,462.09,452.73
66,497,353.75,422.53,464.77,530.72,453.98,445.15
67,364,368.37,440.8,477.04,545.84,466.78,459.76
68,283,367.03,423.26,465.7,533.84,458.9,449.75
69,212,335.03,424.63,465.56,531.31,462.39,443.78
70,168,320.6,418.28,452.37,516.91,457.04,433.04
71,121,343.97,411.72,450.69,511.63,434.13,430.43
72,102,326.57,423.89,455.5,525.05,459.05,438.01
73,87,313.56,418.23,450.68,526.28,454.13,432.58
74,54,315.19,419.15,448.76,528.67,453.78,433.11
75,42,257.62,396.96,443.32,500.33,439.11,407.47
76,34,310.59,411.34,448.94,505.21,458.91,427.0
77,22,320.91,413.67,428.33,511.05,439.05,422.6
78,19,234.74,396.11,447.79,517.98,443.12,407.95
79,14,433.71,422.84,450.79,544.46,437.64,457.89
80,9,226.67,389.39,424.29,468.31,417.86,385.3
81,8,397.5,453.02,454.62,498.51,444.92,449.72
82,5,380.0,396.44,444.54,510.86,425.02,431.37
83,3,358.67,498.83,471.97,549.13,453.73,466.47
84,1,0.0,556.3,382.4,442.4,378.7,351.96
85,1,0.0,326.6,382.7,337.3,348.0,278.92
86,3,193.33,433.1,440.73,511.03,421.1,399.86
87,1,450.0,647.1,536.3,671.6,666.8,594.36
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,2,540.0,434.8,506.7,513.25,428.9,484.73
91,0,0,0,0,0,0,0
92,1,320.0,390.6,453.6,576.6,518.5,451.86
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,1,680.0,553.9,612.9,607.8,527.7,596.46
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
