idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,1631,440.7,443.16,491.04,525.78,461.13,472.36
16,3151,447.9,440.21,489.81,525.39,460.2,472.7
17,5182,450.32,442.93,489.69,525.5,464.05,474.5
18,5096,430.4,436.33,481.98,521.34,459.63,465.94
19,3984,403.97,431.91,476.57,515.8,454.48,456.55
20,3240,402.51,432.44,473.72,518.36,454.74,456.36
21,2605,402.81,427.46,473.5,518.75,453.38,455.18
22,2151,399.67,431.18,473.59,521.65,455.05,456.23
23,1956,397.74,429.58,473.17,525.26,456.69,456.49
24,1811,406.59,428.53,476.58,525.92,453.54,458.23
25,1652,408.59,430.94,479.27,528.5,456.0,460.66
26,1470,410.92,429.29,476.63,527.28,456.79,460.18
27,1347,401.41,427.65,476.09,530.02,455.62,458.16
28,1259,397.9,431.91,475.75,529.12,456.87,458.31
29,1160,395.43,426.85,476.02,528.76,455.88,456.59
30,1077,398.49,426.06,476.03,530.25,456.47,457.46
31,926,391.88,428.97,472.55,528.73,459.38,456.3
32,862,392.92,425.73,475.42,533.47,457.54,457.02
33,839,389.1,427.48,473.33,531.26,457.01,455.64
34,709,393.87,423.57,473.54,533.37,457.99,456.47
35,674,388.86,426.42,467.01,526.27,451.66,452.04
36,511,375.42,426.05,469.32,530.45,455.56,451.36
37,511,368.69,421.96,469.28,526.35,456.95,448.65
38,435,382.09,423.59,465.35,533.74,454.62,451.88
39,338,372.19,426.11,471.31,529.91,458.6,451.62
40,325,374.65,434.63,471.26,531.45,450.66,452.53
41,264,391.47,431.47,473.59,538.97,461.4,459.38
42,213,383.19,426.11,475.27,538.89,459.8,456.65
43,215,370.67,436.05,472.09,534.33,458.45,454.32
44,174,372.93,430.72,474.12,545.59,458.39,456.35
45,135,350.81,421.21,465.03,533.75,447.09,443.58
46,136,384.41,426.77,473.84,547.81,469.34,460.43
47,97,393.4,437.61,482.21,549.91,463.85,465.39
48,100,362.2,424.24,476.78,529.78,457.12,450.02
49,76,393.95,425.65,486.15,548.55,462.32,463.33
50,324,369.54,426.4,481.37,542.4,454.33,454.81
