idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,3623,471.77,465.92,497.06,528.26,468.74,486.35
16,7517,482.17,464.05,499.48,531.66,473.65,490.21
17,12531,488.88,462.87,498.54,534.5,476.65,492.29
18,13214,470.3,456.31,492.68,529.66,471.81,484.15
19,10972,453.84,450.47,486.37,524.71,465.94,476.26
20,8388,443.97,446.84,484.1,522.7,463.81,472.28
21,6613,441.52,447.46,485.24,525.74,465.14,473.02
22,5210,443.34,449.21,487.93,526.7,464.46,474.33
23,4235,440.37,446.72,486.06,529.86,464.78,473.56
24,3530,443.13,444.96,488.16,531.43,466.25,474.79
25,3282,441.69,444.51,489.79,533.09,466.94,475.21
26,2839,438.58,448.02,492.28,536.33,470.98,477.24
27,2519,436.34,442.65,489.4,533.02,464.93,473.27
28,2355,429.93,442.89,488.18,533.74,466.33,472.21
29,2001,430.82,442.76,487.84,534.66,467.11,472.64
30,1737,426.86,439.55,487.24,532.4,467.42,470.69
31,1648,418.76,439.13,486.23,533.64,466.28,468.81
32,1510,414.37,437.94,485.24,534.21,467.37,467.83
33,1303,416.63,439.83,485.75,535.11,469.96,469.46
34,1081,415.52,437.49,483.25,535.85,466.28,467.68
35,984,400.47,432.88,480.52,530.92,462.62,461.48
36,905,412.38,438.28,481.24,532.8,465.88,466.12
37,836,391.2,429.59,474.39,527.89,462.87,457.19
38,753,391.27,430.05,470.33,526.6,461.95,456.04
39,622,385.86,429.96,473.7,529.85,459.48,455.77
40,627,378.3,422.89,471.41,527.54,457.87,451.6
41,571,380.14,423.51,471.67,529.18,457.27,452.35
42,504,392.55,427.16,473.03,527.53,460.62,456.18
43,476,387.69,428.43,472.67,526.78,461.9,455.49
44,434,390.6,425.08,474.71,531.02,464.09,457.1
45,347,380.75,417.82,471.4,527.7,456.51,450.84
46,361,381.5,424.21,479.31,531.16,462.34,455.7
47,277,367.94,424.71,472.93,533.06,461.01,451.93
48,246,375.76,421.75,476.11,522.84,453.93,450.08
49,204,394.9,423.47,471.44,533.41,464.08,457.46
50,1018,376.85,423.21,469.61,526.79,458.38,450.97
