idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,2666,462.72,458.57,496.48,531.43,467.09,483.26
16,6294,478.58,459.01,497.59,535.79,469.81,488.16
17,14492,480.79,450.44,494.12,531.66,467.05,484.81
18,15530,462.81,440.54,484.61,524.56,460.3,474.56
19,10533,449.89,438.28,479.3,521.42,457.23,469.22
20,8226,439.38,436.82,478.4,520.17,456.72,466.3
21,6440,445.2,440.35,481.98,524.24,457.66,469.88
22,5025,451.31,440.94,482.72,526.64,459.14,472.15
23,4343,458.56,442.52,487.16,531.27,460.87,476.08
24,3543,455.82,443.14,486.58,531.46,461.35,475.67
25,3152,453.93,441.4,485.52,533.53,462.27,475.33
26,2897,452.28,443.74,487.07,536.02,465.43,476.91
27,2584,445.28,439.88,484.96,534.28,462.28,473.34
28,2454,446.24,441.46,487.74,537.65,465.11,475.64
29,2237,450.1,441.12,486.13,537.04,463.04,475.49
30,2019,437.95,437.7,484.08,534.08,462.7,471.3
31,1735,431.05,433.98,480.92,531.66,460.09,467.54
32,1654,431.23,439.36,482.46,536.42,464.12,470.72
33,1543,427.01,439.72,481.99,535.63,460.87,469.05
34,1353,419.74,436.17,481.24,533.77,461.75,466.54
35,1310,416.4,432.36,478.51,531.5,459.25,463.6
36,1049,413.56,432.42,475.56,530.98,458.92,462.29
37,1003,433.64,437.8,480.11,538.35,464.12,470.8
38,944,397.69,426.49,471.03,529.1,457.56,456.37
39,850,398.61,427.6,474.75,532.99,459.35,458.66
40,741,410.61,434.46,478.98,537.9,465.12,465.41
41,678,391.88,430.67,474.87,534.52,460.96,458.58
42,654,398.07,428.29,475.34,531.92,460.66,458.86
43,556,393.38,432.36,478.67,536.02,460.89,460.27
44,459,416.98,427.38,476.24,538.76,463.99,464.67
45,439,399.16,433.24,480.82,539.25,461.78,462.85
46,392,399.9,429.42,479.8,537.35,463.64,462.02
47,354,397.74,425.07,475.79,538.97,461.69,459.85
48,318,398.49,441.08,475.25,538.69,462.14,463.13
49,275,405.53,431.5,479.32,539.19,464.98,464.1
50,1257,384.19,426.37,466.47,529.22,456.93,452.64
