idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,1588,453.52,441.85,491.89,523.73,461.41,474.48
16,3123,458.33,442.33,491.0,522.91,463.32,475.58
17,4981,466.42,440.26,491.05,526.01,465.51,477.85
18,5328,452.24,435.58,485.17,521.66,461.96,471.32
19,4123,432.93,429.77,479.42,517.94,455.88,463.19
20,3264,430.06,430.89,480.18,518.62,456.7,463.29
21,2672,436.69,433.13,483.11,522.59,455.43,466.19
22,2057,448.27,434.7,486.32,528.29,459.23,471.36
23,1742,437.7,435.51,487.14,527.4,460.4,469.63
24,1542,446.43,434.13,489.53,535.27,462.37,473.54
25,1356,446.43,436.09,490.93,539.28,468.33,476.21
26,1216,449.57,437.97,493.71,537.82,469.37,477.69
27,1102,450.88,435.34,490.44,536.01,464.17,475.37
28,1037,445.59,432.97,491.08,539.97,467.01,475.33
29,933,452.82,438.42,490.52,540.86,466.58,477.84
30,820,457.32,434.88,492.16,544.26,468.04,479.33
31,772,443.47,437.58,491.65,542.68,468.34,476.74
32,731,455.81,437.51,495.38,548.37,472.57,481.93
33,643,442.83,438.91,489.84,545.3,470.48,477.47
34,608,426.15,437.75,483.0,535.41,466.09,469.68
35,542,447.1,436.75,490.47,543.43,466.86,476.92
36,469,436.29,431.52,488.49,543.96,462.41,472.53
37,443,411.38,431.32,478.8,536.57,461.3,463.88
38,421,427.27,436.04,481.98,546.1,467.32,471.74
39,350,422.03,431.75,478.58,543.25,466.61,468.44
40,313,403.83,436.71,484.29,538.06,466.82,465.94
41,288,416.81,431.71,480.68,540.59,461.76,466.31
42,228,428.25,426.78,484.23,539.24,464.33,468.57
43,227,384.67,425.65,468.85,534.83,460.35,454.87
44,185,415.46,432.59,478.98,535.97,464.86,465.57
45,177,403.05,435.33,472.33,535.34,458.44,460.9
46,159,427.67,433.2,479.73,542.38,465.17,469.63
47,129,389.92,417.76,469.23,531.77,464.84,454.7
48,117,399.57,428.89,470.23,536.63,457.74,458.62
49,86,402.56,421.39,468.49,535.72,455.11,456.65
50,445,365.79,417.57,459.46,521.73,452.94,443.5
