idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,15262,452.13,459.12,497.88,527.97,468.29,481.08
16,31920,473.17,465.91,504.3,537.07,476.14,491.32
17,53237,482.19,468.67,506.07,541.66,481.38,495.99
18,55414,472.05,462.73,501.57,539.02,478.83,490.84
19,45473,457.53,456.56,496.26,534.69,473.24,483.66
20,35123,449.35,453.31,494.31,533.66,470.5,480.23
21,26908,444.59,450.51,493.81,533.74,468.82,478.3
22,20795,443.78,451.35,494.98,535.91,469.47,479.1
23,16557,445.54,451.09,496.65,538.45,469.9,480.32
24,13635,450.58,453.13,499.89,542.2,473.4,483.84
25,11969,450.74,453.49,498.96,542.57,473.37,483.83
26,11014,445.62,450.59,499.22,543.44,472.3,482.24
27,10474,447.75,449.52,500.22,545.72,472.37,483.12
28,9264,446.4,449.96,500.26,545.99,474.7,483.46
29,8291,442.49,447.08,498.28,544.14,472.28,480.85
30,7320,434.24,444.65,496.58,544.66,471.18,478.26
31,6600,437.04,445.27,496.81,544.9,470.99,479.0
32,6412,425.79,444.66,495.01,542.83,470.59,475.78
33,5853,422.61,444.01,492.4,542.26,470.54,474.37
34,5127,421.49,441.71,492.6,542.23,470.54,473.71
35,4508,413.41,439.36,489.83,540.94,467.68,470.24
36,4077,414.59,438.35,489.16,540.53,467.39,470.01
37,3669,406.93,434.99,487.73,538.01,464.29,466.39
38,3339,401.88,436.08,484.39,538.18,465.35,465.18
39,2886,401.3,435.08,485.72,539.08,466.1,465.46
40,2748,403.01,436.61,483.94,538.07,464.99,465.32
41,2441,396.12,433.67,483.6,538.46,463.22,463.01
42,2341,399.6,436.07,484.75,540.36,464.08,464.97
43,2117,401.64,432.66,483.06,537.87,464.41,463.93
44,1907,400.13,431.57,482.1,535.67,460.88,462.07
45,1777,387.11,429.31,479.07,537.25,461.67,458.88
46,1629,398.92,431.13,483.69,538.91,464.61,463.45
47,1377,394.25,430.76,480.77,537.03,463.42,461.25
48,1196,394.88,430.45,484.59,540.59,463.98,462.9
49,1232,382.28,427.73,482.11,539.2,462.32,458.73
50,6415,374.83,426.12,476.21,536.61,460.81,454.92
