idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,24070,446.62,457.67,493.58,521.02,463.6,476.5
16,54355,441.54,454.68,490.2,518.74,464.98,474.03
17,75185,451.8,459.91,492.76,523.77,471.13,479.87
18,59925,448.0,458.53,491.55,524.47,471.02,478.71
19,38444,442.96,459.25,491.61,526.86,470.33,478.2
20,24026,449.94,462.83,496.37,533.1,473.16,483.08
21,17627,456.91,461.8,500.66,537.5,473.41,486.06
22,13916,462.3,464.16,503.83,541.35,474.7,489.27
23,10545,467.68,467.36,506.23,546.64,477.2,493.02
24,8499,466.94,463.07,506.59,547.69,475.5,491.96
25,8359,467.41,463.49,507.27,550.62,479.86,493.73
26,7024,471.59,464.67,508.86,553.41,478.73,495.45
27,5959,466.32,463.15,508.46,552.03,478.78,493.75
28,5417,467.33,463.1,508.45,553.83,481.26,494.79
29,4929,459.37,460.84,506.75,555.35,480.85,492.63
30,3814,462.09,461.94,507.21,554.65,481.33,493.45
31,3473,453.83,461.45,504.38,552.49,479.12,490.25
32,3334,449.75,460.26,503.93,551.26,479.03,488.85
33,3053,441.78,456.18,502.17,551.6,475.67,485.48
34,2602,445.83,455.34,501.15,550.23,476.95,485.9
35,2328,429.74,453.05,497.13,549.5,476.04,481.09
36,2092,438.26,453.34,498.46,548.06,475.51,482.73
37,1926,436.45,454.42,498.28,550.72,475.79,483.13
38,1755,424.29,446.12,491.71,548.26,473.09,476.7
39,1504,425.84,448.26,493.44,549.22,474.05,478.16
40,1375,431.11,448.83,494.35,549.58,475.47,479.87
41,1271,417.01,447.65,491.95,548.47,471.39,475.3
42,1173,432.01,446.36,496.82,551.54,473.31,480.01
43,1051,434.88,447.64,492.91,551.12,476.99,480.71
44,1012,421.68,444.51,487.2,545.7,471.01,474.02
45,861,421.04,440.43,491.49,545.02,472.81,474.16
46,839,431.01,447.33,492.76,550.34,474.89,479.27
47,774,411.51,443.02,487.23,544.56,470.8,471.42
48,658,404.07,435.91,487.27,544.14,466.8,467.64
49,598,412.41,444.37,489.78,549.58,470.49,473.33
50,3306,392.0,435.41,481.0,540.68,465.98,463.01
