idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,9199,459.86,468.98,504.42,534.51,478.06,489.17
16,21672,478.95,475.36,509.88,542.38,485.03,498.32
17,35770,488.5,479.48,512.52,547.13,492.06,503.94
18,27772,474.98,474.96,506.86,544.25,489.02,498.01
19,17665,461.16,469.78,503.45,542.88,484.46,492.34
20,11996,450.17,467.49,501.92,543.72,484.01,489.46
21,8812,447.03,466.04,502.42,544.99,482.84,488.66
22,6759,444.92,462.6,502.23,546.06,481.44,487.45
23,5327,447.42,465.64,505.32,550.73,485.27,490.88
24,4435,439.78,463.3,504.76,550.28,482.3,488.08
25,3590,446.62,464.79,507.75,553.22,484.34,491.34
26,3117,442.53,460.35,505.71,553.01,483.79,489.08
27,2676,435.55,459.56,503.96,553.38,484.2,487.33
28,2283,431.54,457.36,503.36,553.4,481.68,485.47
29,1986,426.91,455.7,501.31,550.92,480.57,483.08
30,1806,415.22,453.71,499.46,551.93,481.03,480.27
31,1560,411.66,450.56,497.94,551.35,478.69,478.04
32,1489,415.71,450.74,498.09,552.11,478.91,479.11
33,1384,408.13,446.76,494.55,546.17,476.97,474.52
34,1218,406.92,437.51,492.81,544.93,474.21,471.28
35,1155,403.36,444.98,493.61,546.12,477.26,473.07
36,1109,389.24,444.3,490.58,543.68,473.48,468.26
37,974,387.37,438.84,485.54,541.28,471.81,464.97
38,912,386.63,434.21,484.02,540.04,470.15,463.01
39,907,380.78,437.43,485.26,544.93,469.22,463.52
40,796,366.97,431.2,479.24,537.87,467.35,456.53
41,717,379.18,436.49,485.42,542.57,468.07,462.35
42,676,359.1,430.26,479.94,534.65,467.46,454.28
43,613,353.87,431.43,481.26,534.72,469.37,454.13
44,547,375.41,425.79,477.85,536.67,464.72,456.09
45,488,363.85,431.74,481.51,539.43,465.09,456.32
46,381,358.16,427.26,473.7,533.06,464.72,451.38
47,368,354.57,427.95,479.97,536.41,461.69,452.12
48,317,364.54,431.62,480.32,534.4,464.07,454.99
49,324,375.25,438.48,487.22,546.7,467.96,463.12
50,1451,348.29,430.6,477.5,539.66,464.92,452.19
