idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,10405,409.53,439.73,480.12,514.16,454.93,459.69
16,19614,423.89,440.63,483.16,518.38,458.11,464.84
17,30435,436.48,442.17,486.39,522.65,463.31,470.2
18,30434,428.54,439.88,482.93,521.41,462.23,467.0
19,22923,423.11,440.39,481.62,520.75,460.72,465.32
20,16450,421.8,440.35,483.82,523.03,461.0,466.0
21,12303,426.17,442.74,486.41,525.34,461.74,468.48
22,9009,429.17,446.01,488.0,528.93,463.89,471.2
23,7585,434.71,444.89,490.97,533.23,465.59,473.88
24,6254,434.13,445.4,491.42,534.82,465.28,474.21
25,5839,444.65,447.14,496.35,540.69,466.73,479.11
26,5434,443.34,445.02,495.45,540.98,466.37,478.23
27,4511,436.32,443.87,491.98,538.93,464.82,475.18
28,3842,434.23,445.34,494.32,542.56,467.43,476.78
29,3616,429.2,443.71,492.4,541.83,468.29,475.09
30,3117,428.12,443.73,492.26,541.72,468.65,474.9
31,2719,426.51,444.6,494.0,543.43,469.03,475.51
32,2549,421.96,437.75,489.18,538.08,465.84,470.56
33,2251,414.39,437.95,488.44,540.17,464.72,469.14
34,1935,407.35,438.89,486.52,538.06,464.52,467.07
35,1787,402.88,434.21,484.02,537.29,463.33,464.35
36,1562,413.22,436.72,486.21,540.24,461.7,467.62
37,1423,405.5,433.33,486.7,540.61,463.53,465.93
38,1203,401.7,433.63,481.94,537.93,461.59,463.36
39,1098,404.93,433.43,482.08,538.35,461.47,464.05
40,975,388.12,436.18,483.36,537.33,461.93,461.38
41,883,402.6,438.67,485.0,540.54,464.62,466.29
42,819,391.83,433.64,481.15,535.61,462.09,460.86
43,714,401.76,434.61,484.24,538.71,464.43,464.75
44,661,389.89,429.06,479.01,536.51,462.1,459.31
45,552,380.49,427.32,476.5,535.59,460.3,456.04
46,493,375.9,429.97,477.02,536.14,458.88,455.58
47,451,386.61,433.34,479.36,534.74,460.91,458.99
48,398,365.98,425.61,474.39,533.52,458.92,451.68
49,323,367.93,422.56,476.45,536.51,457.83,452.26
50,1681,364.62,426.49,471.55,533.76,458.68,451.02
