idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,9367,454.45,451.34,493.62,527.25,466.1,478.55
16,18138,470.83,454.83,499.4,534.95,475.23,487.05
17,30891,483.28,456.57,499.19,538.61,478.76,491.28
18,35077,467.92,447.23,493.38,533.57,473.2,483.06
19,29545,453.18,442.44,487.63,528.5,468.39,476.03
20,24448,445.05,440.13,485.45,527.75,465.7,472.82
21,19386,442.98,439.96,485.47,528.3,463.9,472.12
22,15110,440.11,438.29,485.55,529.18,464.06,471.44
23,12936,441.77,439.85,487.16,531.05,464.41,472.85
24,10314,441.19,441.55,489.64,534.77,465.41,474.51
25,9616,440.25,440.74,490.4,536.32,465.56,474.65
26,8760,439.19,441.33,490.85,536.92,466.03,474.87
27,7500,439.93,440.88,491.31,538.63,465.66,475.28
28,7058,436.26,440.57,490.34,538.71,465.66,474.31
29,6265,432.04,439.57,490.15,538.35,466.58,473.34
30,5687,429.8,438.33,488.35,538.61,466.35,472.29
31,5200,432.1,439.65,488.76,538.87,467.39,473.35
32,5036,430.03,437.44,488.85,539.13,467.13,472.52
33,4621,424.84,433.76,484.99,537.96,465.06,469.32
34,4128,415.21,435.87,484.37,538.19,465.91,467.91
35,3744,411.3,435.71,481.68,535.74,463.38,465.56
36,3321,417.68,432.73,482.32,536.63,463.55,466.58
37,3154,412.13,431.87,481.9,537.42,464.97,465.66
38,2782,414.55,432.21,482.28,539.11,462.63,466.16
39,2580,407.81,430.36,479.46,534.99,461.59,462.84
40,2436,405.39,431.84,480.63,534.62,462.6,463.02
41,2149,411.81,429.92,479.32,536.27,461.65,463.79
42,1930,406.02,433.27,479.28,535.96,462.16,463.34
43,1650,404.16,428.18,478.17,534.52,463.25,461.66
44,1548,402.14,427.79,477.83,532.28,461.14,460.24
45,1367,398.48,425.94,475.07,535.8,458.46,458.75
46,1233,400.34,429.04,476.3,532.89,461.96,460.11
47,1087,396.03,428.39,477.16,537.51,462.32,460.28
48,940,392.74,427.25,476.12,534.73,460.87,458.34
49,861,398.73,427.47,477.89,537.18,460.29,460.31
50,4017,376.09,423.18,469.21,529.57,457.1,451.03
