idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,8859,469.86,462.41,499.55,526.97,468.38,485.43
16,13946,482.43,468.0,504.1,534.99,476.56,493.22
17,19626,491.48,469.78,505.47,539.36,480.91,497.4
18,19200,474.41,461.27,499.14,533.68,475.06,488.71
19,16090,458.9,457.32,495.27,530.86,470.67,482.61
20,12397,456.51,457.62,496.21,533.12,470.92,482.88
21,9996,453.5,459.67,497.98,534.13,472.39,483.53
22,8187,455.73,459.66,500.13,536.96,472.66,485.03
23,6801,457.22,460.09,501.15,540.04,473.7,486.44
24,5970,458.84,460.87,502.75,542.7,475.48,488.13
25,5321,458.96,459.68,503.65,544.79,475.4,488.5
26,4876,458.45,458.15,504.71,545.5,474.85,488.33
27,4356,456.28,458.63,505.36,547.39,477.45,489.02
28,3886,450.4,455.73,504.75,547.59,474.97,486.69
29,3531,449.47,459.99,502.39,547.5,478.61,487.59
30,2941,453.23,460.29,505.77,551.97,477.75,489.8
31,2587,439.84,454.17,498.44,545.45,471.49,481.88
32,2444,440.51,453.56,499.02,548.05,474.39,483.11
33,2266,436.33,450.04,496.69,547.43,473.68,480.83
34,1913,424.36,445.92,493.63,542.06,470.25,475.24
35,1665,430.04,450.82,491.9,543.38,470.27,477.28
36,1508,419.2,446.17,491.47,542.77,466.73,473.27
37,1294,420.81,444.62,490.13,542.97,466.83,473.07
38,1311,420.75,444.13,492.87,543.17,471.3,474.44
39,1047,405.73,441.06,486.42,539.53,466.94,467.94
40,998,409.28,436.9,484.68,534.09,463.79,465.75
41,851,416.2,435.5,484.99,538.38,465.93,468.2
42,766,418.81,440.35,490.19,542.62,468.67,472.13
43,690,412.23,435.56,484.28,538.08,467.55,467.54
44,630,416.96,440.2,489.29,541.09,466.88,470.88
45,578,415.25,433.15,484.22,536.36,464.19,466.63
46,574,399.69,439.46,482.11,535.0,464.73,464.2
47,496,413.52,441.18,485.77,543.15,465.43,469.81
48,420,407.64,438.01,482.75,537.62,463.35,465.87
49,373,404.18,435.44,483.27,534.23,464.65,464.35
50,1768,386.91,434.38,477.48,536.55,463.13,459.69
