idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,5924,446.85,464.94,497.15,527.0,472.06,481.6
16,11632,453.51,464.07,499.67,531.6,476.81,485.13
17,17773,458.79,465.94,499.76,534.47,480.58,487.91
18,18378,441.91,457.42,494.52,530.39,476.03,480.06
19,14999,424.88,448.84,488.6,525.23,469.03,471.31
20,10818,408.72,443.98,482.82,518.75,464.45,463.74
21,8108,407.35,444.18,484.42,521.71,462.67,464.07
22,6465,405.23,442.19,484.64,522.04,464.66,463.75
23,5364,415.75,443.67,487.18,526.8,465.39,467.76
24,4595,417.64,440.91,488.06,529.38,465.97,468.39
25,4360,416.04,441.69,488.97,531.23,466.29,468.84
26,3758,415.44,439.6,489.31,531.42,465.95,468.35
27,3235,413.87,443.79,490.79,533.93,466.82,469.84
28,3061,410.57,441.78,490.95,533.42,466.42,468.63
29,2719,400.78,438.35,488.86,533.5,463.36,464.97
30,2248,404.75,439.71,489.98,534.9,466.48,467.16
31,2143,397.86,434.45,486.13,532.87,464.76,463.22
32,1869,391.71,437.29,484.68,532.39,464.07,462.03
33,1640,390.05,431.33,481.55,532.06,462.23,459.44
34,1466,386.26,431.23,481.34,530.23,460.54,457.92
35,1471,381.67,433.35,479.96,525.94,461.52,456.49
36,1256,370.38,431.81,478.69,529.4,460.38,454.13
37,1092,368.6,432.98,477.86,526.64,458.31,452.88
38,1048,372.96,426.08,475.75,528.25,457.81,452.17
39,913,367.04,426.4,477.04,530.13,462.67,452.66
40,828,380.02,431.25,476.87,530.77,460.77,455.94
41,725,365.74,429.33,473.41,530.22,458.13,451.37
42,691,358.66,425.62,472.25,525.96,459.12,448.32
43,608,374.34,427.09,474.55,529.64,461.31,453.39
44,522,368.19,423.15,470.1,526.71,455.01,448.63
45,483,375.11,421.53,471.18,524.11,461.21,450.63
46,475,363.07,423.8,472.72,525.24,459.36,448.84
47,416,362.12,425.52,474.24,530.0,464.05,451.19
48,366,375.55,428.57,471.49,527.65,459.32,452.52
49,327,355.23,428.81,474.54,527.05,459.8,449.09
50,1617,333.95,419.31,463.5,522.07,453.76,438.52
