idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,7200,485.79,488.73,514.68,547.89,485.43,504.51
16,27240,509.76,499.08,523.45,558.89,496.21,517.48
17,58174,516.31,498.92,522.92,561.08,499.81,519.81
18,39466,504.07,492.8,517.03,557.41,496.69,513.6
19,25488,490.54,490.58,513.34,556.08,492.17,508.54
20,18610,484.32,489.44,513.34,556.78,492.33,507.24
21,13930,479.3,486.47,514.17,558.71,490.86,505.9
22,10960,475.66,486.16,515.47,559.75,491.29,505.67
23,9039,479.9,487.85,517.1,562.47,492.55,507.97
24,7467,478.98,486.69,517.7,563.62,492.88,507.97
25,6525,469.12,482.38,516.44,563.4,492.4,504.75
26,5682,470.46,481.69,517.67,563.53,493.32,505.33
27,4762,471.04,482.41,517.64,565.08,493.32,505.9
28,4096,462.03,479.8,517.02,566.14,491.47,503.29
29,3712,464.24,481.25,516.47,565.99,493.32,504.26
30,3140,461.61,476.33,515.07,564.57,492.75,502.06
31,2957,454.52,473.9,515.17,564.63,490.13,499.67
32,2831,450.14,469.07,512.46,562.42,488.67,496.55
33,2559,444.64,470.87,511.91,562.24,488.52,495.64
34,2206,444.23,468.05,508.11,559.89,487.77,493.61
35,2109,434.49,465.02,506.73,559.74,487.69,490.73
36,1937,439.09,464.69,505.79,558.35,484.89,490.56
37,1831,433.14,457.93,505.27,558.42,483.41,487.63
38,1635,432.4,460.29,502.51,556.17,484.53,487.18
39,1504,426.81,455.18,502.26,555.59,481.58,484.29
40,1325,420.38,455.14,500.2,555.54,482.25,482.7
41,1241,414.23,452.64,496.67,554.61,479.87,479.6
42,1100,418.01,454.33,497.24,555.64,482.66,481.58
43,1053,401.61,445.49,491.52,547.05,477.31,472.6
44,953,396.48,451.42,496.06,551.06,479.46,474.89
45,892,403.07,448.51,493.76,549.73,475.51,474.11
46,828,403.21,439.88,492.28,545.93,474.62,471.18
47,733,390.99,450.58,491.69,544.68,479.09,471.41
48,637,402.46,446.49,490.08,550.1,476.19,473.06
49,616,382.85,441.88,487.27,549.97,473.3,467.05
50,2914,393.38,443.05,484.97,547.26,474.81,468.69
