idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,4593,475.53,471.23,503.09,530.74,470.99,490.32
16,10403,486.49,475.56,505.88,536.79,476.76,496.3
17,16875,495.19,476.1,507.34,541.36,481.35,500.27
18,17363,486.67,472.42,504.58,539.75,479.23,496.53
19,14618,468.92,466.82,499.67,535.85,473.82,489.01
20,11751,460.54,463.79,497.59,533.79,472.0,485.54
21,9328,459.96,464.97,498.09,535.73,472.67,486.28
22,7457,463.04,465.78,502.51,540.3,474.81,489.29
23,6211,467.82,468.46,504.99,544.46,477.82,492.71
24,5357,463.27,465.02,504.22,544.99,476.94,490.89
25,5148,464.91,465.81,505.74,547.74,477.81,492.4
26,4600,465.42,464.06,506.73,550.1,477.05,492.67
27,3990,463.88,465.46,505.42,549.85,476.96,492.31
28,3548,461.25,464.95,505.68,552.17,479.23,492.65
29,3116,457.65,463.53,507.79,551.03,478.74,491.75
30,2684,452.57,461.19,505.14,550.45,478.5,489.57
31,2367,451.36,456.99,503.29,550.39,476.56,487.72
32,2215,440.27,459.64,501.11,550.98,476.63,485.73
33,2141,439.57,457.14,501.88,550.66,476.43,485.14
34,1828,445.75,456.58,501.08,549.58,476.35,485.87
35,1619,438.61,453.24,500.15,550.08,473.56,483.13
36,1380,438.5,456.18,496.16,546.38,478.29,483.1
37,1188,431.98,445.61,495.48,547.42,472.03,478.5
38,1088,421.01,447.13,494.72,549.99,472.63,477.09
39,954,419.28,445.38,488.44,542.59,469.02,472.94
40,886,420.5,445.83,490.97,543.89,470.73,474.38
41,842,412.73,446.51,489.72,543.68,470.75,472.68
42,737,417.07,443.13,492.2,545.71,469.31,473.48
43,635,426.36,450.53,493.95,548.38,471.3,478.1
44,621,415.69,443.0,494.51,547.92,473.0,474.82
45,580,413.38,450.6,491.55,546.16,469.86,474.31
46,485,428.61,448.01,492.37,551.97,474.98,479.19
47,449,405.75,442.76,486.02,544.51,470.93,469.99
48,402,415.97,438.74,489.63,544.99,467.33,471.33
49,381,422.3,455.64,492.1,551.67,474.25,479.19
50,1807,408.37,441.0,484.44,545.3,469.54,469.73
