idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,684,418.22,447.43,485.72,518.89,457.99,465.65
16,1365,442.56,455.01,485.78,522.95,466.2,474.5
17,2530,461.07,448.41,488.41,527.46,471.85,479.44
18,2472,461.9,444.16,485.93,524.83,468.02,476.97
19,1727,452.21,443.67,482.46,523.51,465.68,473.51
20,1266,443.06,444.41,481.7,523.43,463.63,471.25
21,941,434.99,439.49,482.51,524.51,459.86,468.27
22,727,444.18,443.57,481.77,530.64,464.89,473.01
23,605,441.69,444.85,484.39,529.54,466.94,473.48
24,453,441.58,440.49,486.02,534.64,465.78,473.7
25,435,431.98,436.6,481.14,527.09,461.94,467.75
26,381,437.99,437.38,490.23,530.91,465.34,472.37
27,338,436.63,450.61,485.93,540.22,470.22,476.72
28,321,437.58,434.39,487.2,537.49,467.82,472.9
29,302,401.32,444.8,482.82,532.86,463.15,464.99
30,254,436.48,436.5,484.47,533.79,459.89,470.22
31,236,411.95,438.76,479.29,532.32,469.84,466.43
32,215,433.26,433.82,479.41,535.96,462.66,469.02
33,216,399.44,434.9,483.62,535.75,454.26,461.6
34,188,402.13,425.83,471.03,529.92,454.6,456.7
35,176,400.45,436.44,469.07,526.8,458.25,458.2
36,184,418.48,427.07,475.9,531.8,460.77,462.8
37,147,406.39,427.85,473.73,533.7,456.38,459.61
38,142,394.79,430.48,478.56,532.97,462.39,459.84
39,123,404.88,425.55,474.76,535.18,454.78,459.03
40,105,383.05,410.46,471.36,533.51,452.15,450.11
41,86,404.42,443.41,475.87,545.47,459.72,465.78
42,70,369.14,422.09,469.67,539.14,456.52,451.31
43,66,456.97,442.29,500.0,557.98,458.98,483.24
44,71,389.3,446.89,470.27,541.77,460.66,461.78
45,48,445.83,465.84,495.27,562.18,480.5,489.92
46,37,415.14,438.39,493.69,554.1,482.4,476.74
47,42,388.57,423.83,479.05,537.89,468.31,459.53
48,41,365.37,429.72,482.28,537.31,461.38,455.21
49,27,378.52,427.64,470.43,530.9,454.93,452.48
50,144,350.07,428.69,458.85,525.7,451.44,442.95
