idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,5885,478.39,485.95,518.49,545.97,484.05,502.57
16,22149,510.88,496.85,527.18,557.09,493.5,517.1
17,47506,525.97,503.39,529.35,562.6,498.79,524.02
18,41773,500.84,489.02,518.55,554.79,490.71,510.78
19,29851,487.75,485.49,515.53,552.96,487.02,505.75
20,23565,478.7,484.19,513.77,553.17,485.97,503.16
21,17604,475.51,481.93,515.23,554.66,485.93,502.65
22,13951,478.54,483.83,516.81,557.02,486.96,504.63
23,12301,478.97,484.86,518.52,559.69,487.72,505.95
24,10188,475.6,484.57,519.67,561.63,489.28,506.15
25,8648,472.88,482.79,519.7,562.79,488.71,505.37
26,7447,472.72,482.95,520.09,564.3,488.84,505.78
27,6232,471.27,482.67,520.44,564.49,490.76,505.93
28,5727,468.73,481.35,520.08,564.04,489.03,504.65
29,5150,461.16,477.14,518.18,563.52,488.15,501.63
30,4527,456.21,474.64,518.79,565.38,488.39,500.68
31,4218,452.63,470.53,516.11,562.6,485.83,497.54
32,4048,440.02,469.24,513.17,560.85,485.08,493.67
33,3809,448.84,466.48,512.57,561.03,485.08,494.8
34,3095,440.74,464.06,512.96,560.32,485.0,492.62
35,2969,439.99,463.02,510.37,560.85,483.42,491.53
36,2715,431.06,458.2,506.89,557.52,480.42,486.82
37,2425,430.99,457.16,509.58,559.08,483.74,488.11
38,2252,433.6,456.18,510.17,558.44,481.88,488.05
39,2077,424.3,454.07,505.14,556.93,481.8,484.45
40,1928,426.69,454.98,505.43,557.77,482.2,485.42
41,1695,417.65,456.58,505.74,555.65,480.11,483.15
42,1677,420.52,450.02,505.51,558.02,479.4,482.69
43,1626,422.45,449.89,506.74,556.31,479.7,483.02
44,1403,409.3,446.9,503.66,557.29,480.33,479.5
45,1365,402.62,446.66,502.71,554.58,480.67,477.45
46,1283,408.48,445.53,503.18,554.28,477.57,477.81
47,1206,411.21,445.56,503.98,558.67,479.74,479.83
48,1164,411.75,442.37,501.85,553.45,479.81,477.85
49,1156,412.72,444.54,500.3,554.11,475.26,477.39
50,6452,389.11,439.34,493.88,551.51,474.19,469.61
