idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,17715,520.48,516.39,531.24,558.54,500.63,525.46
16,78942,542.01,521.05,538.96,568.38,507.9,535.66
17,223679,528.14,505.14,531.47,561.78,500.53,525.41
18,147145,528.99,510.2,532.58,566.21,505.52,528.7
19,79446,523.15,509.54,531.58,567.78,505.16,527.44
20,54132,510.92,501.6,528.51,565.29,499.53,521.17
21,40472,502.76,494.89,527.01,563.7,494.29,516.53
22,30443,497.9,491.63,526.54,564.36,492.21,514.53
23,24469,496.61,493.11,528.17,566.45,493.92,515.65
24,19469,497.3,491.81,528.28,567.94,494.01,515.87
25,16951,492.9,488.61,526.9,567.36,494.34,514.02
26,14459,488.42,487.16,525.8,567.65,493.93,512.59
27,12240,487.89,484.84,525.97,568.28,494.24,512.24
28,10500,480.12,483.4,524.67,568.35,494.18,510.15
29,9169,479.93,480.32,522.22,566.84,492.45,508.35
30,8136,473.44,477.12,520.98,566.24,492.3,506.02
31,7589,471.83,475.57,520.34,566.07,492.45,505.25
32,7378,465.47,471.05,516.87,564.44,489.52,501.47
33,6646,458.95,468.74,514.65,563.02,488.42,498.75
34,5948,453.08,468.07,513.12,561.9,489.0,497.03
35,5440,444.83,461.65,508.59,558.26,485.2,491.71
36,4959,443.16,461.83,508.82,559.17,485.14,491.62
37,4751,436.45,459.66,506.27,557.11,483.19,488.54
38,4394,435.91,456.71,505.04,556.03,483.54,487.45
39,4119,432.54,455.27,504.47,556.34,481.83,486.09
40,3960,430.33,456.86,506.78,556.96,483.26,486.84
41,3470,423.17,456.95,502.19,554.54,482.25,483.82
42,3312,417.31,455.29,502.13,555.21,479.91,481.97
43,3131,414.89,449.89,499.17,553.46,480.09,479.5
44,2787,417.91,452.49,499.64,552.79,478.65,480.3
45,2661,416.44,451.78,501.07,554.73,481.19,481.04
46,2379,414.58,450.16,500.11,552.68,480.08,479.52
47,2259,411.28,448.5,499.94,554.76,482.19,479.33
48,2150,405.61,445.05,497.14,551.3,476.92,475.21
49,1928,414.98,451.3,501.43,556.37,481.45,481.11
50,10989,399.0,447.2,493.88,551.45,476.5,473.6
