idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,2750,426.67,458.44,491.93,523.36,467.75,473.63
16,5267,427.15,450.02,488.02,522.42,465.62,470.65
17,8278,434.71,453.35,490.38,524.52,469.01,474.39
18,7296,420.44,448.76,485.62,523.67,464.5,468.6
19,5010,409.35,447.04,482.77,522.72,465.29,465.43
20,3530,410.8,448.14,483.48,525.54,465.87,466.77
21,2497,416.74,448.11,488.3,530.23,467.24,470.12
22,1800,409.22,452.38,487.97,532.04,467.19,469.76
23,1444,410.87,444.44,488.27,532.82,467.37,468.75
24,1212,410.61,442.14,488.28,533.98,468.32,468.67
25,1012,405.35,443.32,487.67,535.19,465.63,467.43
26,809,405.17,443.49,490.53,538.05,468.38,469.12
27,719,402.81,437.71,489.91,537.21,462.21,465.97
28,607,391.15,438.76,485.34,536.66,464.82,463.35
29,497,396.14,439.23,487.66,537.13,465.53,465.14
30,497,378.71,436.2,480.65,529.45,463.58,457.72
31,432,394.12,437.35,481.42,537.1,462.09,462.42
32,386,366.79,439.51,477.85,529.19,466.17,455.9
33,313,372.46,429.93,474.93,529.33,464.19,454.17
34,283,357.24,425.24,472.9,527.59,457.8,448.15
35,256,365.47,429.7,475.62,528.79,461.77,452.27
36,246,361.46,438.79,469.83,528.99,458.36,451.49
37,232,361.22,413.99,460.85,526.64,458.54,444.25
38,232,364.84,430.84,473.33,531.96,461.18,452.43
39,200,358.8,434.13,476.78,528.11,460.74,451.71
40,162,357.45,428.48,475.09,531.3,461.41,450.74
41,144,342.64,424.27,463.63,527.12,459.09,443.35
42,103,367.96,428.85,466.92,531.93,459.86,451.1
43,117,356.58,413.39,475.41,530.12,454.31,445.96
44,83,287.95,428.64,471.34,515.07,461.12,432.83
45,88,319.55,424.5,462.09,519.03,464.61,437.96
46,96,321.88,430.3,465.08,534.09,451.13,440.5
47,59,356.95,430.77,476.02,537.79,469.81,454.27
48,49,308.57,417.26,462.2,522.88,449.65,432.11
49,54,301.85,427.34,463.82,520.18,454.66,433.57
50,248,305.81,425.73,457.14,518.86,448.62,431.23
