idade,quantidade,redacao,matematica,linguagens,humanas,natureza,geral
15,191530,467.51,473.81,505.15,534.89,475.69,491.41
16,503682,491.58,484.47,513.79,545.73,486.06,504.33
17,994058,504.06,488.57,516.97,551.04,491.62,510.45
18,851207,492.06,482.27,511.58,547.99,488.51,504.48
19,585031,476.5,475.78,506.14,544.36,483.33,497.22
20,426389,467.87,472.4,504.33,543.73,480.73,493.81
21,323184,464.19,470.11,504.65,544.47,479.03,492.49
22,250560,463.83,469.89,505.96,546.59,479.53,493.16
23,206396,465.22,470.23,507.49,549.45,480.72,494.62
24,169142,464.87,468.87,508.1,551.08,481.04,494.79
25,150707,462.88,467.4,507.94,552.01,481.17,494.28
26,132525,461.61,465.86,508.12,552.95,480.89,493.89
27,114001,459.08,464.3,507.66,553.19,480.68,492.98
28,101803,454.53,462.9,506.87,553.33,480.54,491.63
29,90638,451.69,461.51,505.41,552.94,480.14,490.34
30,78880,447.06,459.04,504.45,552.38,479.55,488.5
31,72613,443.82,457.95,503.46,552.18,478.65,487.21
32,69014,438.57,455.82,501.79,551.15,477.71,485.01
33,63168,435.06,454.35,500.02,550.7,477.18,483.46
34,55022,429.93,452.07,498.54,549.19,476.4,481.22
35,50823,425.49,449.9,496.16,547.6,474.83,478.8
36,45483,423.52,449.11,495.37,547.47,473.86,477.86
37,42197,420.94,446.73,494.88,547.68,473.73,476.79
38,38789,416.52,445.46,492.78,546.85,472.65,474.85
39,34929,413.64,444.39,491.95,546.59,472.56,473.83
40,32667,410.91,444.38,491.89,545.83,472.22,473.05
41,29199,409.25,444.16,491.03,546.24,471.51,472.44
42,27475,410.51,443.45,491.74,546.9,472.05,472.93
43,25340,409.47,441.4,490.61,545.33,471.54,471.67
44,22821,405.96,440.9,490.25,545.42,470.55,470.62
45,21150,401.7,439.97,489.29,545.35,470.55,469.37
46,19364,404.09,440.37,490.31,546.15,471.4,470.47
47,17557,403.0,441.14,490.38,546.97,472.21,470.74
48,16086,400.65,439.09,490.04,545.59,470.5,469.17
49,15036,402.17,440.59,491.08,548.3,471.46,470.72
50,79277,388.18,436.99,484.75,544.23,468.26,464.48
